lead_agency,proposed_rules,median_window_days,median_pages,median_pages_per_30_days
Health and Human Services Department,35,60.0,23.0,11.5
Justice Department,13,31.0,8.0,7.5
Federal Communications Commission,66,31.0,8.0,6.887096774193548
Interior Department,45,60.0,8.0,6.393442622950819
Commerce Department,47,31.0,5.0,6.0
Treasury Department,39,60.0,10.0,5.0
Environmental Protection Agency,234,32.0,5.0,4.4114619080301996
Education Department,15,31.0,5.0,4.0
Homeland Security Department,65,30.0,3.0,3.75
Energy Department,45,60.0,6.0,3.0
Labor Department,65,62.0,3.0,3.0
Agriculture Department,22,31.0,3.0,3.0
Nuclear Regulatory Commission,18,30.5,3.0,2.90625
Consumer Financial Protection Bureau,16,32.0,4.0,2.8333333333333335
Defense Department,11,60.0,5.0,2.5
Transportation Department,467,45.0,4.0,2.0
National Credit Union Administration,10,60.0,3.5,1.75
