incident_zip,total_requests,digital_requests,GEO_ID,NAME,population,median_household_income,households,broadband_households,broadband_household_percent,digital_share,requests_per_1000,income_quartile
10001,21577,15398,860Z200US10001,ZCTA5 10001,30511,129852,15737,14911,94.75122323187392,0.7136302544375955,707.1875716954542,Q4 · higher
10002,28794,21131,860Z200US10002,ZCTA5 10002,76873,48386,36556,31234,85.44151438888281,0.7338681669792317,374.5658423633786,Q1 · lower
10003,25467,18797,860Z200US10003,ZCTA5 10003,53560,154262,24503,23749,96.92282577643554,0.7380924333451133,475.4854368932039,Q4 · higher
10004,6438,5570,860Z200US10004,ZCTA5 10004,3711,250001,1865,1865,100.0,0.8651755203479341,1734.842360549717,Q4 · higher
10005,3507,2881,860Z200US10005,ZCTA5 10005,9439,190233,5248,5095,97.08460365853658,0.8214998574280011,371.5435957198856,Q4 · higher
10006,2869,2406,860Z200US10006,ZCTA5 10006,4096,190170,2149,2118,98.55746859004188,0.8386197281282677,700.439453125,Q4 · higher
10007,5550,4536,860Z200US10007,ZCTA5 10007,7406,250001,3344,3291,98.41507177033493,0.8172972972972973,749.3923845530651,Q4 · higher
10009,20026,14340,860Z200US10009,ZCTA5 10009,60209,92876,30082,27405,91.1009906256233,0.7160691101567962,332.60808184822866,Q3
10010,9591,6911,860Z200US10010,ZCTA5 10010,30702,144969,15632,14942,95.58597748208803,0.7205713689917631,312.39007230799297,Q4 · higher
10011,23535,16898,860Z200US10011,ZCTA5 10011,48277,145987,27802,26713,96.08301561038775,0.717994476311876,487.4992232325953,Q4 · higher
10012,14580,10980,860Z200US10012,ZCTA5 10012,21426,137106,11901,11638,97.79010167212839,0.7530864197530864,680.4816577989359,Q4 · higher
10013,15799,11472,860Z200US10013,ZCTA5 10013,27219,161154,12230,11337,92.6982829108749,0.7261219064497753,580.4401337301149,Q4 · higher
10014,14959,11015,860Z200US10014,ZCTA5 10014,29230,176395,17218,16538,96.05064467417819,0.7363460124339862,511.76873075607256,Q4 · higher
10016,20212,15328,860Z200US10016,ZCTA5 10016,52971,140381,30235,28410,93.96394906565239,0.7583613694834752,381.5672726586246,Q4 · higher
10017,9831,7239,860Z200US10017,ZCTA5 10017,15297,136705,9683,9469,97.78994113394609,0.736344217271895,642.675034320455,Q4 · higher
10018,8839,6890,860Z200US10018,ZCTA5 10018,8559,145958,4783,4528,94.66861802216182,0.7794999434325149,1032.7141021147331,Q4 · higher
10019,22805,16887,860Z200US10019,ZCTA5 10019,44942,128559,26682,25045,93.86477775279214,0.740495505371629,507.43180098794005,Q4 · higher
10021,8335,5296,860Z200US10021,ZCTA5 10021,39868,158677,20953,20114,95.99580012408724,0.6353929214157169,209.0649142169158,Q4 · higher
10022,10125,6652,860Z200US10022,ZCTA5 10022,34049,172026,18804,17771,94.50648798128057,0.6569876543209876,297.36556139681045,Q4 · higher
10023,22485,17648,860Z200US10023,ZCTA5 10023,69455,159874,37708,36080,95.68261376896149,0.7848788080942851,323.73479231156864,Q4 · higher
10024,15824,10791,860Z200US10024,ZCTA5 10024,63115,181560,30120,28858,95.81009296148738,0.6819388270980788,250.71694525865485,Q4 · higher
10025,26454,17228,860Z200US10025,ZCTA5 10025,93065,108940,41334,38236,92.50495959742585,0.6512436682543282,284.2529414925052,Q3
10026,24135,16274,860Z200US10026,ZCTA5 10026,37123,81244,15634,14240,91.0835358833312,0.6742904495545887,650.1360342644722,Q2
10027,30322,20098,860Z200US10027,ZCTA5 10027,63885,59587,24856,21584,86.83617637592533,0.662819075258888,474.63410816310557,Q1 · lower
10028,12617,8111,860Z200US10028,ZCTA5 10028,49077,175121,26288,25508,97.03286670724285,0.6428628041531267,257.08580394074613,Q4 · higher
10029,29240,19752,860Z200US10029,ZCTA5 10029,77447,38695,33660,27757,82.46286393345217,0.6755129958960329,377.5485170503699,Q1 · lower
10030,19818,12293,860Z200US10030,ZCTA5 10030,29297,39802,13092,11438,87.36633058356247,0.6202946816025835,676.4515138068745,Q1 · lower
10031,35613,23654,860Z200US10031,ZCTA5 10031,61058,65283,22499,20730,92.13742833014801,0.6641956588886081,583.2650922074093,Q1 · lower
10032,35644,23727,860Z200US10032,ZCTA5 10032,55610,56829,21584,18895,87.54169755374352,0.665666030748513,640.9638554216867,Q1 · lower
10033,29361,20517,860Z200US10033,ZCTA5 10033,54838,75040,19973,18076,90.5021779402193,0.6987841013589455,535.4133994675225,Q2
10034,24936,17108,860Z200US10034,ZCTA5 10034,37758,67754,15308,13815,90.24692970995558,0.6860763554700032,660.4163356109964,Q2
10035,17684,10771,860Z200US10035,ZCTA5 10035,38862,45121,15655,13034,83.25774512935165,0.6090816557339969,455.0460604189182,Q1 · lower
10036,22209,17016,860Z200US10036,ZCTA5 10036,31036,95638,18991,16976,89.38971091569691,0.766175874645414,715.5883490140482,Q3
10037,10619,6104,860Z200US10037,ZCTA5 10037,19031,49153,9982,8853,88.68964135443798,0.5748187211601846,557.9843413378172,Q1 · lower
