GEO_ID,incident_zip,NAME,population,median_household_income,households,broadband_households,broadband_household_percent
860Z200US00601,00601,ZCTA5 00601,16669,19454,5768,4670,80.96393897364771
860Z200US00602,00602,ZCTA5 00602,37233,21420,12954,9071,70.02470279450363
860Z200US00603,00603,ZCTA5 00603,48448,20933,20131,16775,83.32919378073618
860Z200US00606,00606,ZCTA5 00606,5163,20992,1860,764,41.075268817204304
860Z200US00610,00610,ZCTA5 00610,25357,24496,9604,7050,73.40691378592254
860Z200US00611,00611,ZCTA5 00611,1383,20360,679,525,77.31958762886599
860Z200US00612,00612,ZCTA5 00612,62908,24488,24426,19364,79.27618111848031
860Z200US00616,00616,ZCTA5 00616,9717,21846,3580,2803,78.29608938547487
860Z200US00617,00617,ZCTA5 00617,22584,25013,9063,7134,78.71565706719629
860Z200US00622,00622,ZCTA5 00622,7664,26585,3256,2510,77.08845208845209
860Z200US00623,00623,ZCTA5 00623,39212,26388,15881,11983,75.45494616208047
860Z200US00624,00624,ZCTA5 00624,21148,22979,7456,6340,85.03218884120172
860Z200US00627,00627,ZCTA5 00627,32734,27411,12431,9467,76.15638323545973
860Z200US00631,00631,ZCTA5 00631,1321,19278,450,363,80.66666666666666
860Z200US00636,00636,ZCTA5 00636,968,-666666666,304,212,69.73684210526315
860Z200US00637,00637,ZCTA5 00637,22909,21987,8236,4464,54.20106847984458
860Z200US00638,00638,ZCTA5 00638,17319,22610,6028,4495,74.5686794956868
860Z200US00641,00641,ZCTA5 00641,23831,21102,9594,7047,73.45215759849906
860Z200US00646,00646,ZCTA5 00646,35998,36265,12838,9900,77.11481539180558
860Z200US00647,00647,ZCTA5 00647,4369,20023,1881,1045,55.55555555555556
860Z200US00650,00650,ZCTA5 00650,13200,21447,5517,4346,78.77469639296719
860Z200US00652,00652,ZCTA5 00652,4504,35383,1612,1433,88.89578163771712
860Z200US00653,00653,ZCTA5 00653,8495,16736,3910,2349,60.076726342711
860Z200US00656,00656,ZCTA5 00656,17398,24065,6461,5156,79.80188825259248
860Z200US00659,00659,ZCTA5 00659,37327,27513,13338,10703,80.24441445494077
860Z200US00660,00660,ZCTA5 00660,15405,26851,6180,5183,83.8673139158576
860Z200US00662,00662,ZCTA5 00662,41090,23299,14285,7764,54.35071753587679
860Z200US00664,00664,ZCTA5 00664,14807,21767,5277,4136,78.3778662118628
860Z200US00667,00667,ZCTA5 00667,22792,19534,8827,6491,73.53574260790757
860Z200US00669,00669,ZCTA5 00669,27417,18778,10657,8336,78.22088767945951
860Z200US00670,00670,ZCTA5 00670,8512,16367,3034,1166,38.43111404087014
860Z200US00674,00674,ZCTA5 00674,39093,22537,15599,10767,69.02365536252324
860Z200US00676,00676,ZCTA5 00676,36972,23272,13585,11657,85.80787633419213
860Z200US00677,00677,ZCTA5 00677,15483,24266,5897,4229,71.71443106664405
860Z200US00678,00678,ZCTA5 00678,24595,23874,9041,6452,71.36378719168233
860Z200US00680,00680,ZCTA5 00680,42689,17896,18130,14889,82.12355212355213
860Z200US00682,00682,ZCTA5 00682,28977,18793,12206,10661,87.34229067671637
860Z200US00683,00683,ZCTA5 00683,29490,18543,11218,6044,53.87769655910144
860Z200US00685,00685,ZCTA5 00685,39988,20310,14790,10830,73.22515212981745
860Z200US00687,00687,ZCTA5 00687,28397,25003,10903,8201,75.21782995505825
860Z200US00688,00688,ZCTA5 00688,10028,18023,4043,2532,62.6267623052189
860Z200US00690,00690,ZCTA5 00690,5870,25755,2222,1861,83.75337533753375
860Z200US00692,00692,ZCTA5 00692,32802,25568,13136,10973,83.53380024360536
860Z200US00693,00693,ZCTA5 00693,55387,24596,22156,16522,74.571222242282
