incident_zip,open_data_channel_type,requests,month,month_last_day
00083,ONLINE,1,1,31
07105,PHONE,1,1,31
07307,PHONE,1,1,31
10000,ONLINE,16,1,31
10000,PHONE,2,1,31
10000,UNKNOWN,23,1,31
10001,MOBILE,407,1,31
10001,ONLINE,499,1,31
10001,PHONE,276,1,31
10001,UNKNOWN,100,1,31
10002,MOBILE,448,1,31
10002,ONLINE,1107,1,31
10002,PHONE,366,1,31
10002,UNKNOWN,201,1,31
10003,MOBILE,290,1,31
10003,ONLINE,1136,1,31
10003,PHONE,367,1,31
10003,UNKNOWN,174,1,31
10004,MOBILE,23,1,31
10004,ONLINE,464,1,31
10004,PHONE,46,1,31
10004,UNKNOWN,34,1,31
10005,MOBILE,41,1,31
10005,ONLINE,145,1,31
10005,PHONE,32,1,31
10005,UNKNOWN,12,1,31
10006,MOBILE,38,1,31
10006,ONLINE,158,1,31
10006,PHONE,29,1,31
10006,UNKNOWN,22,1,31
10007,MOBILE,44,1,31
10007,ONLINE,232,1,31
10007,PHONE,48,1,31
10007,UNKNOWN,32,1,31
10009,MOBILE,275,1,31
10009,ONLINE,769,1,31
10009,PHONE,335,1,31
10009,UNKNOWN,101,1,31
10010,MOBILE,92,1,31
10010,ONLINE,338,1,31
10010,PHONE,134,1,31
10010,UNKNOWN,37,1,31
10011,MOBILE,388,1,31
10011,ONLINE,748,1,31
10011,PHONE,557,1,31
10011,UNKNOWN,153,1,31
10012,MOBILE,178,1,31
10012,ONLINE,794,1,31
10012,PHONE,211,1,31
10012,UNKNOWN,96,1,31
10013,MOBILE,232,1,31
10013,ONLINE,637,1,31
10013,PHONE,180,1,31
10013,UNKNOWN,123,1,31
10014,MOBILE,217,1,31
10014,ONLINE,549,1,31
10014,PHONE,184,1,31
10014,UNKNOWN,154,1,31
10016,MOBILE,216,1,31
10016,ONLINE,979,1,31
10016,PHONE,255,1,31
10016,UNKNOWN,129,1,31
10017,MOBILE,78,1,31
10017,ONLINE,440,1,31
10017,PHONE,143,1,31
10017,UNKNOWN,54,1,31
10018,MOBILE,107,1,31
10018,ONLINE,266,1,31
10018,PHONE,115,1,31
10018,UNKNOWN,53,1,31
10019,MOBILE,310,1,31
10019,ONLINE,853,1,31
10019,PHONE,332,1,31
10019,UNKNOWN,94,1,31
10020,MOBILE,12,1,31
10020,ONLINE,5,1,31
10020,PHONE,3,1,31
10020,UNKNOWN,3,1,31
10021,MOBILE,108,1,31
10021,ONLINE,409,1,31
10021,PHONE,181,1,31
10021,UNKNOWN,85,1,31
10022,MOBILE,100,1,31
10022,ONLINE,388,1,31
10022,PHONE,174,1,31
10022,UNKNOWN,100,1,31
10023,MOBILE,288,1,31
10023,ONLINE,1192,1,31
10023,PHONE,284,1,31
10023,UNKNOWN,97,1,31
10024,MOBILE,156,1,31
10024,ONLINE,783,1,31
10024,PHONE,366,1,31
10024,UNKNOWN,89,1,31
10025,MOBILE,372,1,31
10025,ONLINE,1383,1,31
10025,PHONE,666,1,31
10025,UNKNOWN,123,1,31
10026,MOBILE,425,1,31
10026,ONLINE,1197,1,31
10026,PHONE,748,1,31
10026,UNKNOWN,64,1,31
10027,MOBILE,719,1,31
10027,ONLINE,1392,1,31
10027,PHONE,942,1,31
10027,UNKNOWN,115,1,31
10028,MOBILE,87,1,31
10028,ONLINE,622,1,31
10028,PHONE,290,1,31
10028,UNKNOWN,115,1,31
10029,MOBILE,312,1,31
10029,ONLINE,1394,1,31
10029,PHONE,709,1,31
10029,UNKNOWN,106,1,31
10030,MOBILE,276,1,31
10030,ONLINE,1144,1,31
10030,PHONE,702,1,31
10030,UNKNOWN,62,1,31
10031,MOBILE,744,1,31
10031,ONLINE,1688,1,31
10031,PHONE,924,1,31
10031,UNKNOWN,139,1,31
10032,MOBILE,706,1,31
10032,ONLINE,1600,1,31
10032,PHONE,859,1,31
10032,UNKNOWN,94,1,31
10033,MOBILE,629,1,31
10033,ONLINE,1396,1,31
10033,PHONE,645,1,31
10033,UNKNOWN,75,1,31
10034,MOBILE,521,1,31
10034,ONLINE,959,1,31
10034,PHONE,572,1,31
10034,UNKNOWN,51,1,31
10035,MOBILE,338,1,31
10035,ONLINE,677,1,31
10035,PHONE,501,1,31
10035,UNKNOWN,86,1,31
10036,MOBILE,230,1,31
10036,ONLINE,834,1,31
10036,PHONE,291,1,31
10036,UNKNOWN,97,1,31
10037,MOBILE,125,1,31
10037,ONLINE,358,1,31
10037,PHONE,297,1,31
10037,UNKNOWN,29,1,31
10038,MOBILE,147,1,31
10038,ONLINE,267,1,31
10038,PHONE,90,1,31
10038,UNKNOWN,35,1,31
10039,MOBILE,328,1,31
10039,ONLINE,677,1,31
10039,PHONE,530,1,31
10039,UNKNOWN,81,1,31
10040,MOBILE,425,1,31
10040,ONLINE,1125,1,31
10040,PHONE,746,1,31
10040,UNKNOWN,55,1,31
10041,MOBILE,1,1,31
10041,UNKNOWN,2,1,31
10044,MOBILE,2,1,31
10044,ONLINE,30,1,31
10044,PHONE,21,1,31
10044,UNKNOWN,2,1,31
10048,ONLINE,3,1,31
10048,UNKNOWN,2,1,31
10055,MOBILE,2,1,31
10065,MOBILE,100,1,31
10065,ONLINE,439,1,31
10065,PHONE,178,1,31
10065,UNKNOWN,80,1,31
10069,MOBILE,26,1,31
10069,ONLINE,23,1,31
10069,PHONE,20,1,31
10069,UNKNOWN,9,1,31
10075,MOBILE,77,1,31
10075,ONLINE,301,1,31
10075,PHONE,123,1,31
10075,UNKNOWN,57,1,31
10080,ONLINE,1,1,31
10103,MOBILE,2,1,31
10105,MOBILE,1,1,31
10105,ONLINE,3,1,31
10105,UNKNOWN,1,1,31
10107,MOBILE,1,1,31
10107,ONLINE,1,1,31
10110,ONLINE,4,1,31
10111,PHONE,1,1,31
10111,UNKNOWN,3,1,31
10112,ONLINE,6,1,31
10112,UNKNOWN,1,1,31
10115,MOBILE,1,1,31
10115,PHONE,1,1,31
10118,MOBILE,3,1,31
10118,ONLINE,25,1,31
10118,PHONE,4,1,31
10119,MOBILE,1,1,31
