iso3,indicator_code,indicator,year,value,source_url
AFG,IT.NET.USER.ZS,internet_users_percent,2024,16.09499931,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
AFG,IT.NET.USER.ZS,internet_users_percent,2023,15.92840004,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
AFG,IT.NET.USER.ZS,internet_users_percent,2022,15.86629963,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
AFG,IT.NET.USER.ZS,internet_users_percent,2021,16.51429939,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
AFG,IT.NET.USER.ZS,internet_users_percent,2020,17.04850006,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ALB,IT.NET.USER.ZS,internet_users_percent,2024,85.86389923,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ALB,IT.NET.USER.ZS,internet_users_percent,2023,83.13559161,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ALB,IT.NET.USER.ZS,internet_users_percent,2022,82.61367544,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ALB,IT.NET.USER.ZS,internet_users_percent,2021,79.32371752,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ALB,IT.NET.USER.ZS,internet_users_percent,2020,72.23767711,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
DZA,IT.NET.USER.ZS,internet_users_percent,2024,77.4178009,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
DZA,IT.NET.USER.ZS,internet_users_percent,2023,76.19760132,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
DZA,IT.NET.USER.ZS,internet_users_percent,2022,74.78150177,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
DZA,IT.NET.USER.ZS,internet_users_percent,2021,72.21240234,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
DZA,IT.NET.USER.ZS,internet_users_percent,2020,63.47269821,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ASM,IT.NET.USER.ZS,internet_users_percent,2024,,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ASM,IT.NET.USER.ZS,internet_users_percent,2023,,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ASM,IT.NET.USER.ZS,internet_users_percent,2022,,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ASM,IT.NET.USER.ZS,internet_users_percent,2021,,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
ASM,IT.NET.USER.ZS,internet_users_percent,2020,,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
AND,IT.NET.USER.ZS,internet_users_percent,2024,94.39759827,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=20000&date=2020%3A2024
