state,state_name,poverty_percent,broadband_percent,disability_percent,limited_english_household_percent,no_broadband_percent,equal_weight_score,equal_weight_rank,poverty_double_rank,digital_double_rank,noncompensatory_rank,median_random_weight_rank,rank_p05,rank_p95,probability_top_10,deterministic_rank_range
01,Alabama,15.62105610603776,87.46990232054422,16.47035546659925,1.2174257865952485,12.530097679455778,0.7107843137254901,8.0,8.0,8.0,9.0,8.0,7.0,34.0,0.7054,1.0
02,Alaska,10.13854027084024,91.92224238817445,13.634440358375102,2.091426923887289,8.077757611825547,0.3676470588235294,42.0,40.0,42.0,37.0,39.0,32.0,44.0,0.0,5.0
04,Arizona,12.48482419331741,91.54866406099828,13.785383090966604,3.563834499091587,8.451335939001723,0.5735294117647058,17.0,20.0,23.0,16.0,20.0,9.0,30.0,0.0915,7.0
05,Arkansas,15.99386978662713,86.72614215576121,17.985262545747833,1.550762985007301,13.27385784423879,0.7696078431372548,3.0,4.0,3.0,5.0,5.0,2.0,25.0,0.8459,2.0
06,California,12.006112733280833,93.45817060130464,11.58613053037485,8.397603765726108,6.541829398695356,0.43137254901960786,34.0,30.0,41.0,44.0,36.0,5.0,47.0,0.12,14.0
08,Colorado,9.43884053812359,93.52035070073599,11.449152618821765,2.3718967676936153,6.479649299264011,0.18627450980392157,49.0,49.0,49.0,50.0,49.0,40.0,51.0,0.0,1.0
09,Connecticut,10.01662809439772,92.17807165515929,12.182762942506939,5.115665404701651,7.821928344840714,0.3529411764705882,43.0,44.0,44.0,43.0,42.0,18.0,45.0,0.0021,1.0
10,Delaware,10.414100398431952,92.35345912575428,14.086507398515433,2.5893074783975645,7.646540874245716,0.41666666666666663,36.0,36.0,40.0,33.0,35.0,23.0,42.0,0.0,7.0
11,District of Columbia,15.439360219129838,91.20160497517651,11.460687203579818,3.082057745823459,8.798395024823492,0.5147058823529411,25.0,20.0,28.0,29.0,25.0,8.0,43.0,0.0979,9.0
12,Florida,12.573480944234177,91.61475000599808,13.659487168246217,7.037122935377324,8.385249994001924,0.6127450980392157,13.0,13.0,19.0,11.0,16.0,3.0,30.0,0.2968,8.0
13,Georgia,13.390012875840696,90.9729513745206,13.11960007622984,2.805565332127747,9.027048625479395,0.5686274509803921,21.0,14.0,21.0,17.0,20.0,11.0,29.0,0.0441,7.0
15,Hawaii,10.040138970445705,92.03233608080365,12.88800468751804,5.081094033339222,7.9676639191963545,0.4117647058823529,37.0,39.0,37.0,36.0,36.0,15.0,41.0,0.0039,3.0
16,Idaho,10.589298025589162,91.89009894741271,14.109030666677153,1.7806326743851728,8.10990105258729,0.39705882352941174,39.0,38.0,39.0,32.0,37.0,25.0,46.0,0.0,7.0
17,Illinois,11.808579926969054,90.75078492803163,12.081057283075992,4.366806851414559,9.249215071968365,0.4901960784313726,29.0,27.0,32.0,27.0,28.0,11.0,39.0,0.0439,5.0
18,Indiana,12.337987767561135,89.88059317918314,14.181296202918436,1.9604132386895627,10.119406820816863,0.5735294117647058,17.0,22.0,14.0,13.0,19.0,14.0,29.0,0.0,9.0
19,Iowa,11.075655252030398,88.85116519103417,12.649937340090805,1.998241249761535,11.14883480896583,0.5049019607843137,26.0,28.0,17.0,24.0,28.0,12.0,37.0,0.0118,11.0
20,Kansas,11.283723563766763,90.68761392092397,13.483904711762056,2.4283256392347923,9.312386079076035,0.4950980392156863,28.0,28.0,24.0,23.0,28.0,22.0,30.0,0.0,5.0
21,Kentucky,16.062888095582576,88.61672478284281,17.893952567049343,1.707662131455539,11.383275217157191,0.7696078431372548,3.0,3.0,5.0,4.0,5.0,3.0,22.0,0.8653,2.0
22,Louisiana,18.92605088251437,86.58650915901107,16.336867504778407,1.907600926428706,13.413490840988928,0.7990196078431372,2.0,2.0,2.0,2.0,3.0,2.0,16.0,0.9174,0.0
23,Maine,10.747836592513545,90.28952088137329,15.844157550384066,0.9498307820865131,9.710479118626708,0.4754901960784314,30.0,32.0,26.0,31.0,30.0,13.0,47.0,0.0049,6.0
24,Maryland,9.448876835068978,92.40133427679557,11.628276576253505,3.517838884638042,7.598665723204434,0.27450980392156865,47.0,47.0,48.0,47.0,47.0,29.0,48.0,0.0,1.0
25,Massachusetts,10.038726677178362,92.80061126546745,12.340456200912493,6.19545414395905,7.199388734532548,0.37745098039215685,40.0,41.0,43.0,42.0,41.0,11.0,45.0,0.0426,3.0
26,Michigan,13.20761083068528,90.53804991648204,14.316324882009305,1.8539783812505688,9.461950083517962,0.5735294117647058,17.0,19.0,17.0,15.0,19.0,13.0,32.0,0.0,4.0
27,Minnesota,9.300024152994357,91.61725423589282,11.641228532199126,2.2288996102610317,8.382745764107185,0.2598039215686274,48.0,48.0,46.0,46.0,46.0,38.0,49.0,0.0,2.0
28,Mississippi,18.898346759003665,84.09122854192003,17.806501415394177,0.8536524679356503,15.908771458079968,0.7500000000000001,6.0,4.0,3.0,14.0,5.0,1.0,36.0,0.7716,11.0
