iso3,country,region,income_group,electricity_access_percent,fixed_broadband_per_100,internet_users_percent,secure_servers_per_million,electricity_access_percent_year,fixed_broadband_per_100_year,internet_users_percent_year,secure_servers_per_million_year,complete_latest_window,within_country_vintage_span_years
ABW,Aruba,Latin America & Caribbean ,High income,100.0,17.4862221892338,,1574.14695124774,2024.0,2022.0,,2024.0,False,2.0
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,87.8,0.0800873028793967,16.09499931,41.0575140034026,2024.0,2023.0,2024.0,2024.0,True,1.0
AGO,Angola,Sub-Saharan Africa ,Lower middle income,55.5,0.362845240712436,40.70479965,48.5141563014729,2024.0,2024.0,2024.0,2024.0,True,0.0
ALB,Albania,Europe & Central Asia,Upper middle income,100.0,24.8815713356962,85.86389923,1512.74983930188,2024.0,2024.0,2024.0,2024.0,True,0.0
AND,Andorra,Europe & Central Asia,High income,100.0,52.3554394786302,94.39759827,17623.0808660206,2024.0,2024.0,2024.0,2024.0,True,0.0
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,100.0,40.840113505519,100.0,4192.27408432243,2024.0,2024.0,2024.0,2024.0,True,0.0
ARG,Argentina,Latin America & Caribbean ,Upper middle income,98.4,26.0976420359532,89.66715228,5453.43428098629,2024.0,2024.0,2024.0,2024.0,True,0.0
ARM,Armenia,Europe & Central Asia,Upper middle income,100.0,20.3090953111129,81.33930206,1735.28926982034,2024.0,2024.0,2024.0,2024.0,True,0.0
ASM,American Samoa,East Asia & Pacific,High income,,,,513.204319469689,,,,2024.0,False,0.0
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,100.0,10.6818181818182,72.73040009,970.438936996118,2024.0,2022.0,2024.0,2024.0,True,2.0
AUS,Australia,East Asia & Pacific,High income,100.0,36.4788276060473,96.13140106,44299.3061115854,2024.0,2024.0,2024.0,2024.0,True,0.0
AUT,Austria,Europe & Central Asia,High income,100.0,30.12779672163,94.91974877,47132.0383936251,2024.0,2024.0,2024.0,2024.0,True,0.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,100.0,21.7534102440295,90.43979645,541.026362293599,2024.0,2024.0,2024.0,2024.0,True,0.0
BDI,Burundi,Sub-Saharan Africa ,Low income,20.1,0.0203441336211462,8.595999718,10.6066536036355,2024.0,2023.0,2024.0,2024.0,True,1.0
BEL,Belgium,Europe & Central Asia,High income,100.0,44.2321563183446,95.77579144,36731.8766702,2024.0,2024.0,2024.0,2024.0,True,0.0
BEN,Benin,Sub-Saharan Africa ,Lower middle income,59.0,0.277382047807868,33.98379898,20.3972640285468,2024.0,2024.0,2024.0,2024.0,True,0.0
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,34.0,0.851360416490348,28.25270081,28.8337642615132,2024.0,2024.0,2024.0,2024.0,True,0.0
BGD,Bangladesh,South Asia,Lower middle income,99.5,8.08931134401926,53.42171316,527.061270034326,2024.0,2024.0,2024.0,2024.0,True,0.0
BGR,Bulgaria,Europe & Central Asia,High income,100.0,37.0235717545079,82.438955,50750.6030113542,2024.0,2023.0,2024.0,2024.0,True,1.0
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,100.0,16.9915789748788,100.0,7064.39978094884,2024.0,2024.0,2024.0,2024.0,True,0.0
BHS,"Bahamas, The",Latin America & Caribbean ,High income,100.0,25.2679530406222,92.47270203,6354.61756416295,2024.0,2024.0,2024.0,2024.0,True,0.0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,100.0,29.3909178564419,86.10091103,5554.23349523568,2024.0,2024.0,2024.0,2024.0,True,0.0
BLR,Belarus,Europe & Central Asia,Upper middle income,100.0,36.2627055164488,94.26182128,12729.5218058239,2024.0,2024.0,2024.0,2024.0,True,0.0
BLZ,Belize,Latin America & Caribbean ,Upper middle income,99.6,9.75385677359442,80.00582262,464560.075958108,2024.0,2022.0,2024.0,2024.0,True,2.0
BMU,Bermuda,North America,High income,100.0,51.3026796212637,,4347.42248901541,2024.0,2024.0,,2024.0,False,0.0
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,96.6,12.0711429622144,79.70469666,364.447369618833,2024.0,2024.0,2024.0,2024.0,True,0.0
BRA,Brazil,Latin America & Caribbean ,Upper middle income,99.8,24.079199344422,84.46347227,6941.17408045006,2024.0,2024.0,2024.0,2024.0,True,0.0
BRB,Barbados,Latin America & Caribbean ,High income,100.0,37.4843261853654,70.36470032,1171.81830089887,2024.0,2022.0,2024.0,2024.0,True,2.0
BRN,Brunei Darussalam,East Asia & Pacific,High income,100.0,21.1771240120937,96.29828801,16128.509404155,2024.0,2024.0,2024.0,2024.0,True,0.0
BTN,Bhutan,South Asia,Lower middle income,100.0,2.92069476099272,91.27739716,1339.18870432229,2024.0,2024.0,2024.0,2024.0,True,0.0
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,80.2,7.4409622000215,57.45950036,471.215589461747,2024.0,2024.0,2024.0,2024.0,True,0.0
CAF,Central African Republic,Sub-Saharan Africa ,Low income,18.2,0.0160846160651184,13.78250027,1.68833678191754,2024.0,2022.0,2024.0,2024.0,True,2.0
CAN,Canada,North America,High income,100.0,42.5238215177079,94.353302,39738.0380540323,2024.0,2024.0,2024.0,2024.0,True,0.0
CHE,Switzerland,Europe & Central Asia,High income,100.0,47.0197818175134,97.3443985,167357.645513638,2024.0,2024.0,2024.0,2024.0,True,0.0
CHI,Channel Islands,Europe & Central Asia,High income,100.0,,,,2024.0,,,,False,0.0
CHL,Chile,Latin America & Caribbean ,High income,99.0,23.731405742065,95.590243,11912.6095617298,2024.0,2024.0,2024.0,2024.0,True,0.0
CHN,China,East Asia & Pacific,Upper middle income,100.0,47.1933952081567,92.0,1413.32103124612,2024.0,2024.0,2024.0,2024.0,True,0.0
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,72.9,1.60153227430253,41.43219902,60.7498599465213,2024.0,2024.0,2024.0,2024.0,True,0.0
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,72.0,2.12862474053,46.25880051,25.168467350901,2024.0,2022.0,2024.0,2024.0,True,2.0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,22.5,0.0320289131404702,19.67350006,9.66358065038185,2024.0,2024.0,2024.0,2024.0,True,0.0
