iso3,country,region,income_group,electricity_access_percent,fixed_broadband_per_100,internet_users_percent,secure_servers_per_million,complete_case
ABW,Aruba,Latin America & Caribbean ,High income,100.0,,,1397.18141935003,False
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,85.3,0.0800873028793967,15.92840004,43.758544404586,True
AGO,Angola,Sub-Saharan Africa ,Lower middle income,51.1,0.373668982990052,37.88589859,40.2177899448233,True
ALB,Albania,Europe & Central Asia,Upper middle income,100.0,22.5048592377088,83.13559161,1389.50050131486,True
AND,Andorra,Europe & Central Asia,High income,100.0,51.7401306025527,94.21499634,14618.5811813595,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,100.0,37.0968234502256,100.0,2119.66117852284,True
ARG,Argentina,Latin America & Caribbean ,Upper middle income,100.0,25.3580730689248,89.22897166,5451.20150353984,True
ARM,Armenia,Europe & Central Asia,Upper middle income,100.0,18.5458075085454,79.99663036,1177.00637587289,True
ASM,American Samoa,East Asia & Pacific,High income,,,,462.953220681383,False
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,100.0,,72.12409973,803.720690985469,False
AUS,Australia,East Asia & Pacific,High income,100.0,36.627426494239,96.1160965,47565.8931035132,True
AUT,Austria,Europe & Central Asia,High income,100.0,29.3725409835617,95.33467117,42281.0014410145,True
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,100.0,20.8825041017301,89.0,549.736368813028,True
BDI,Burundi,Sub-Saharan Africa ,Low income,11.6,0.0203441336211462,7.172299862,10.2999024796467,True
BEL,Belgium,Europe & Central Asia,High income,100.0,43.7026445985633,94.62625074,33664.5855592207,True
BEN,Benin,Sub-Saharan Africa ,Lower middle income,57.0,0.170880461346773,32.39400101,12.4016425727555,True
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,21.7,0.459463342299517,25.36120033,22.583386549057,True
BGD,Bangladesh,South Asia,Lower middle income,99.5,7.89245848428319,44.50274195,388.168008314603,True
BGR,Bulgaria,Europe & Central Asia,High income,100.0,37.0235717545079,80.38956462,54104.3676383629,True
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,100.0,17.1582362107608,100.0,5578.10456045081,True
BHS,"Bahamas, The",Latin America & Caribbean ,High income,100.0,23.816342880032,92.38729858,6434.00761065492,True
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,100.0,28.440133083292,83.3771539,5345.87433317855,True
BLR,Belarus,Europe & Central Asia,Upper middle income,100.0,35.0931910729644,91.51249979,11946.8772968583,True
BLZ,Belize,Latin America & Caribbean ,Upper middle income,99.6,,70.18720245,405693.422134437,False
BMU,Bermuda,North America,High income,100.0,,,5718.87848156048,False
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,99.8,11.1529423948186,77.30039978,326.60471004991,True
BRA,Brazil,Latin America & Caribbean ,Upper middle income,99.8,22.4192301618889,84.15060238,5628.66295682819,True
BRB,Barbados,Latin America & Caribbean ,High income,100.0,,69.67510223,1059.02187464581,False
BRN,Brunei Darussalam,East Asia & Pacific,High income,100.0,20.2120497048692,98.97039795,8774.3954121264,True
BTN,Bhutan,South Asia,Lower middle income,100.0,1.31881966212479,90.02140045,1227.13429172733,True
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,76.0,6.16495796381324,,441.085635122996,False
CAF,Central African Republic,Sub-Saharan Africa ,Low income,17.6,,13.8416996,2.5230857493982,False
CAN,Canada,North America,High income,100.0,42.5241770773151,94.14530182,42601.5943234463,True
CHE,Switzerland,Europe & Central Asia,High income,100.0,46.8364627671237,97.34436623,163621.681253151,True
CHI,Channel Islands,Europe & Central Asia,High income,100.0,,,,False
CHL,Chile,Latin America & Caribbean ,High income,100.0,22.9954165646133,94.45742345,12299.9658931976,True
CHN,China,East Asia & Pacific,Upper middle income,100.0,44.728886496649,90.6,1508.37096213963,True
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,72.4,1.36336622359986,40.65284979,63.4352162159023,True
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,72.0,,42.24380112,17.0586592662161,False
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,22.1,0.0219936280960956,18.96789932,8.82883424668128,True
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,51.3,1.26798412068153,43.15039825,18.5997313551845,True
COL,Colombia,Latin America & Caribbean ,Upper middle income,98.7,17.0369815251774,77.33686322,1109.11166481961,True
COM,Comoros,Sub-Saharan Africa ,Lower middle income,89.8,0.387941019794517,31.92749977,18.8149630697553,True
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,98.6,7.23008973237277,74.59919739,951.503931415137,True
CRI,Costa Rica,Latin America & Caribbean ,High income,100.0,22.5231293549635,85.39514799,1956.70376699752,True
CUB,Cuba,Latin America & Caribbean ,Upper middle income,100.0,2.97118012807884,69.55580139,169.329553878332,True
CUW,Curacao,Latin America & Caribbean ,High income,100.0,31.5126707545287,,4597.35926649165,False
CYM,Cayman Islands,Latin America & Caribbean ,High income,100.0,,,26561.5159232181,False
CYP,Cyprus,Europe & Central Asia,High income,100.0,36.9005587748344,91.22110357,557174.254410488,True
CZE,Czechia,Europe & Central Asia,High income,100.0,37.9099783935119,85.99404818,80152.0281309664,True
DEU,Germany,Europe & Central Asia,High income,100.0,45.380522509099,92.4763763,139972.802327193,True
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,65.2,1.47205761945073,64.75869751,63.3161714706005,True
DMA,Dominica,Latin America & Caribbean ,Upper middle income,100.0,,81.33650208,66516.3133363404,False
DNK,Denmark,Europe & Central Asia,High income,100.0,44.0352069959396,98.77559197,261262.408036924,True
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,99.6,11.1345555858062,86.12689972,216.480684195454,True
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,100.0,12.0086836084024,76.19760132,100.294126063305,True
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,98.7,16.0678902316524,72.6943146,475.303701323292,True
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,100.0,10.8642477216638,74.01190186,53.3021246846793,True
ERI,Eritrea,Sub-Saharan Africa ,Low income,54.4,,,0.288152052074839,False
ESP,Spain,Europe & Central Asia,High income,100.0,37.2148181549182,95.44564516,28733.8233897512,True
EST,Estonia,Europe & Central Asia,High income,100.0,35.2539796781149,93.18342241,112224.017467886,True
ETH,Ethiopia,Sub-Saharan Africa ,Low income,55.4,0.534823180349513,20.33749962,17.4681050894878,True
FIN,Finland,Europe & Central Asia,High income,100.0,35.3318092510781,93.51385075,153868.49826224,True
FJI,Fiji,East Asia & Pacific,Upper middle income,99.3,1.82947481185312,74.1160965,229.40123032641,True
FRA,France,Europe & Central Asia,High income,100.0,48.6688340139444,86.83635789,52017.9916172468,True
FRO,Faroe Islands,Europe & Central Asia,High income,100.0,,,8364.2780984595,False
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,86.9,,39.39889908,159.815324513895,False
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,94.1,3.97293291301595,68.19789886,43.0620064721793,True
