artifact_id,case_id,agency,use_case_name,inventory_status,url,resolved_url,http_status,artifact_text_sha256,artifact_text_characters,retrievable,same_system,temporally_applicable,same_predicate,qualifying_mechanism,passage_anchor,strict_recovery,pass_agreement_all_fields,exact_passages
a9ecddc1c2c9ec58,DHS-2729,DHS,Facial Recognition for National Security and Transnational Criminal Organizations,S,https://www.dhs.gov/publication/dhscbppia-056-traveler-verification-service,https://www.dhs.gov/publication/dhscbppia-056-traveler-verification-service,200,bc822a7ead721a39893fb0b180f834cf464befd6caf7d738e8159222e55d5e18,6078,YES,NO,UNCLEAR,NO,NO,NO,0,1,"facial recognition technology, now known as the Traveler Verification Service || facial recognition technology, now known as the Traveler Verification Service (TVS), to support comprehensive biometric entry and exit procedures"
91ad6e3c6af1b9a6,DHS-183,DHS,Public Information Compilation for Travel Threat Analysis (Dataminr),U,https://www.dhs.gov/publication/dhscbppia-058-publicly-available-social-media-monitoring-and-situational-awareness,https://www.dhs.gov/publication/dhscbppia-058-publicly-available-social-media-monitoring-and-situational-awareness,200,05b3855a9cd1485d055c6a35debde89e3b947a56d614f410650c9e79db387da7,6012,YES,UNCLEAR,UNCLEAR,UNCLEAR,NO,NO,0,0,"designated CBP personnel monitor publicly available, open source social media || Authorized CBP personnel may collect publicly available information posted on social media sites to create reports and disseminate information related to personnel and facility safety."
96c45c0626f849b9,DHS-188,DHS,Airship Outpost for Conveyance Identification,U,https://www.dhs.gov/sites/default/files/2022-05/privacy-pia-cbp-tecs%20platform-april2022.pdf,https://www.dhs.gov/sites/default/files/2022-05/privacy-pia-cbp-tecs%20platform-april2022.pdf,200,60340a087cc544953f93ebc15538c06d068b66ea3f1949fa2727786b51ae4d56,128021,YES,NO,UNCLEAR,NO,NO,NO,0,1,"The TECS Platform facilitates information sharing || CBP uses this data to assess the risk or threat posed by persons, goods, or conveyances entering or exiting the country."
f395ffb61ef7fa26,DHS-24,DHS,Entity Resolution,U,https://www.dhs.gov/sites/default/files/2023-09/23_0926_privacy-p%E2%81%AEia-cbp003c-acemodernizations.pdf,https://www.dhs.gov/sites/default/files/2023-09/23_0926_privacy-p%E2%81%AEia-cbp003c-acemodernizations.pdf,200,68b4167faffb4a5bf34a8d64757426216e3657da4ebeb5680ab4e6c5a116b39d,72148,YES,UNCLEAR,UNCLEAR,YES,YES,YES,0,1,"“A no match result does not mean a person is inadmissible... [the officer] will manually query the system... and make a final determination.” || A no match result does not mean a person is inadmissible. After review of this information, the CBP Officer will manually query the system, using the vehicle information and the occupants’ biographic information, to identify the manifest and make a final determination."
84aadc49eff61ac7,DHS-2417,DHS,Process Efficiency Traveler Identity for Airline Check-in and Bag Drop,S,https://www.dhs.gov/sites/default/files/2023-11/23_1128_priv_pia_tsa_046d_tdc.pdf,https://www.dhs.gov/sites/default/files/2023-11/23_1128_priv_pia_tsa_046d_tdc.pdf,200,f4d37d2df8555f1f8d44d1c619b9706e96eeeaee16d6c03fd1ab534343f5f0c8,29713,YES,UNCLEAR,UNCLEAR,YES,YES,YES,0,1,"“If not, the TSO will follow manual resolution processes to verify the traveler’s identity.” || If the TSO is satisfied there is a match, the passenger will be directed to proceed to security screening. If not, the TSO will follow manual resolution processes to verify the traveler’s identity."
fc8833b815241b82,DHS-310,DHS,Customs Broker License Exam - Proctor Support,U,https://www.dhs.gov/sites/default/files/2023-04/privacy-pia-cbp077-bmp-march2023.pdf.pdf,https://www.dhs.gov/sites/default/files/2023-04/privacy-pia-cbp077-bmp-march2023.pdf.pdf,200,9304abd8813f56abe30ccebf476a8091a9468a6f61a44134a9192cfc7b7a99e9,117642,YES,YES,UNCLEAR,YES,YES,YES,0,1,"“CBP uses Artificial Intelligence technology... to provide an immediate alert to the exam proctor.” || proctors can use the third-party vendor system to review any potential violation alerts and create a flag for CBP review if warranted. If an integrity violation is corroborated by CBP using the captured audio and video, CBP will invalidate the registrant’s score"
ba375d4bcdcb79e8,DHS-35,DHS,Autonomous Surveillance Tower,S,https://cbpgov.sharepoint.com/:b:/r/sites/AutonomousSurveillanceTowerASTProgram/Shared%20Documents/General/Tech,nan,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,NO,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,0,0,
61155d4b6d815731,DHS-401,DHS,Vault Access Log (SPVAA),U,https://www.dhs.gov/collections/privacy-impact-assessments-pia,https://www.dhs.gov/publications-library/collections/privacy-impact-assessments-%28pia%29,200,32d4fdccf6829631757e0e772832d55691677b73f25f3b0ad1dade4b4dc2b300,9939,YES,NO,UNCLEAR,NO,NO,NO,0,1,The Privacy Impact Assessment (PIA) is a decision tool to identify and mitigate privacy risks
310f4302df7f7786,DHS-81,DHS,Passport Anomaly Model,U,https://www.dhs.gov/sites/default/files/publications/privacy_pia_cbp_tsacop_09162014.pdf,https://www.dhs.gov/sites/default/files/publications/privacy_pia_cbp_tsacop_09162014.pdf,200,4b7dd30416dddbe8c7c7cd696d94bcbe16c1fd9bc2892985e86c04553f3ca1ae,32108,YES,NO,NO,NO,NO,NO,0,1,Privacy Impact Assessment Update for the Automated Targeting System – TSA/CBP Common Operating Picture Phase II || CBP can then send the person who meets such criteria to secondary inspection for additional examination.
4813afa59e0451ca,DHS-95,DHS,Trade Entity Risk Model,U,https://www.dhs.gov/sites/default/files/publications/privacy_pia_cbp_tsacop_09162014.pdf,https://www.dhs.gov/sites/default/files/publications/privacy_pia_cbp_tsacop_09162014.pdf,200,4b7dd30416dddbe8c7c7cd696d94bcbe16c1fd9bc2892985e86c04553f3ca1ae,32108,YES,UNCLEAR,UNCLEAR,UNCLEAR,NO,UNCLEAR,0,0,“CBP can then send the person who meets such criteria to secondary inspection.” || CBP can then send the person who meets such criteria to secondary inspection for additional examination.
