id,status,template_id,missing_roles,missing_role_count,route
46,U,T-e3b0c44298fc,P|O|W,3,supply and verify missing premises
DHS-101,U,T-c503d2fbb79b,O|W,2,supply and verify missing premises
DHS-123,D,T-cfd1afe05c68,O|W,2,answer objection with evidence
DHS-125,S,T-c60868e1c03a,,0,verify mechanism
DHS-14,S,T-3e96a1b29c22,,0,verify mechanism
DHS-180,S,T-0104c3e1bf9d,,0,verify mechanism
DHS-183,U,T-8c856430c4bd,W,1,supply and verify missing premises
DHS-188,U,T-06fac8b35612,P|O|W,3,supply and verify missing premises
DHS-189,S,T-9224d600b843,,0,verify mechanism
DHS-194,U,T-4e2df62dcd71,W,1,supply and verify missing premises
DHS-204,S,T-02296c740e62,,0,verify mechanism
DHS-234,S,T-282ad145c93c,,0,verify mechanism
DHS-2363,D,T-d39c21ea4512,W,1,answer objection with evidence
DHS-2365,D,T-d39c21ea4512,W,1,answer objection with evidence
DHS-2383,U,T-d0d326f5382a,P|W,2,supply and verify missing premises
DHS-24,U,T-1d482d39ec2c,O|W,2,supply and verify missing premises
DHS-2417,S,T-6e05e26a6734,,0,verify mechanism
DHS-2427,S,T-c60868e1c03a,,0,verify mechanism
DHS-2434,S,T-b99b7f9db3af,,0,verify mechanism
DHS-2511,S,T-1a8b3a877c1f,,0,verify mechanism
DHS-2517,S,T-3e19adf323a0,,0,verify mechanism
DHS-2543,U,T-4f967bc47dbb,,0,interpretation review
DHS-2547,U,T-41cbe51c871e,,0,interpretation review
DHS-2552,U,T-8c725571ab27,W,1,supply and verify missing premises
DHS-2565,U,T-22212d16035b,P|O|W,3,supply and verify missing premises
DHS-2568,U,T-70e1806a4255,W,1,supply and verify missing premises
DHS-2572,S,T-46c1e0453ae6,,0,verify mechanism
DHS-2575,U,T-00202881d718,O,1,supply and verify missing premises
DHS-2578,U,T-7e7a9b400b1b,,0,interpretation review
DHS-2595,S,T-9d5c322cd3a3,,0,verify mechanism
DHS-2627,S,T-4ae31d537142,,0,verify mechanism
DHS-2667,D,T-07c5553a903f,W,1,answer objection with evidence
DHS-2729,S,T-e12f01074a7f,,0,verify mechanism
DHS-310,U,T-ec1eec917acc,W,1,supply and verify missing premises
DHS-317,S,T-f59a322b4b96,,0,verify mechanism
DHS-35,S,T-7c48cabab497,,0,verify mechanism
DHS-37,U,T-a3d7df36b0ea,,0,interpretation review
DHS-372,U,T-4f967bc47dbb,,0,interpretation review
DHS-38,U,T-35f898647486,W,1,supply and verify missing premises
DHS-401,U,T-7cb7bb801fa9,P|W,2,supply and verify missing premises
DHS-407,S,T-037d2edc22d0,,0,verify mechanism
DHS-417,D,T-ba14dc894672,W,1,answer objection with evidence
DHS-48,S,T-c60868e1c03a,,0,verify mechanism
DHS-49,D,T-cfd1afe05c68,O|W,2,answer objection with evidence
DHS-56,S,T-1605b4c2cfa3,,0,verify mechanism
DHS-57,S,T-4b55610f4130,,0,verify mechanism
DHS-65,U,T-3e0e2944b563,O|W,2,supply and verify missing premises
DHS-81,U,T-61f1972a9861,,0,interpretation review
DHS-86,U,T-61fb7c4ffc61,W,1,supply and verify missing premises
DHS-95,U,T-1b5a55fb5f11,W,1,supply and verify missing premises
DOE-574,U,T-3e441efceab0,P|O|W,3,supply and verify missing premises
DOE-579,U,T-93d9abe92b75,P|O|W,3,supply and verify missing premises
DOE-588,U,T-73364a2de99d,P|O|W,3,supply and verify missing premises
DOE-629,U,T-73364a2de99d,P|O|W,3,supply and verify missing premises
DOE-713,U,T-73364a2de99d,P|O|W,3,supply and verify missing premises
DOJ-0009,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0014,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0019,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
