template_id,occurrences,four_statuses,initial_two_model_agreement,four_output_status_unanimity,four_output_vector_unanimity,initial_agreement_not_preserved,gpt54_repeat_disagreement,mini_repeat_disagreement
T-00202881d718,1,U|S|U|S,0,0,0,0,0,0
T-0104c3e1bf9d,1,S|S|S|S,1,1,0,0,0,0
T-02296c740e62,1,S|S|S|S,1,1,0,0,0,0
T-037d2edc22d0,1,S|S|S|S,1,1,0,0,0,0
T-04dfa13cd155,32,U|U|U|U,1,1,0,0,0,0
T-06fac8b35612,1,U|U|U|U,1,1,1,0,0,0
T-07c5553a903f,1,S|S|S|S,1,1,0,0,0,0
T-12ed683e528f,1,U|U|U|U,1,1,0,0,0,0
T-1425969ae25c,1,U|U|U|U,1,1,0,0,0,0
T-1605b4c2cfa3,1,S|S|S|S,1,1,0,0,0,0
T-1a8b3a877c1f,1,S|S|S|S,1,1,1,0,0,0
T-1b5a55fb5f11,1,S|U|U|S,0,0,0,0,1,1
T-1d482d39ec2c,1,U|U|U|U,1,1,0,0,0,0
T-22212d16035b,1,U|U|U|D,1,0,0,1,0,1
T-247d9ff961dd,1,U|U|U|U,1,1,1,0,0,0
T-282ad145c93c,1,S|S|U|S,1,0,0,1,1,0
T-2ca831780599,2,U|U|U|U,1,1,0,0,0,0
T-35f898647486,1,D|D|D|D,1,1,0,0,0,0
T-3e0e2944b563,1,U|U|U|S,1,0,0,1,0,1
T-3e19adf323a0,1,S|S|S|S,1,1,0,0,0,0
T-3e441efceab0,1,U|U|U|U,1,1,1,0,0,0
T-3e96a1b29c22,1,S|S|S|S,1,1,0,0,0,0
T-41cbe51c871e,1,S|S|S|S,1,1,0,0,0,0
T-46c1e0453ae6,1,D|S|D|S,0,0,0,0,0,0
T-4ae31d537142,1,S|S|S|S,1,1,0,0,0,0
T-4b55610f4130,1,S|S|S|S,1,1,1,0,0,0
T-4c341bf155e4,1,D|D|D|D,1,1,1,0,0,0
T-4e2df62dcd71,1,S|U|S|S,0,0,0,0,0,1
T-4f967bc47dbb,2,U|S|S|U,0,0,0,0,1,1
T-527ae4bd3d6a,1,U|U|S|U,1,0,0,1,1,0
T-61f1972a9861,1,S|D|S|S,0,0,0,0,0,1
T-61fb7c4ffc61,1,S|U|S|S,0,0,0,0,0,1
T-6e05e26a6734,1,S|U|S|S,0,0,0,0,0,1
T-70e1806a4255,1,D|S|D|S,0,0,0,0,0,0
T-73364a2de99d,3,U|U|U|U,1,1,1,0,0,0
T-739581454da2,1,S|U|S|S,0,0,0,0,0,1
T-7530fa9894b4,1,U|S|S|S,0,0,0,0,1,0
T-79b6c7760b49,1,U|U|U|U,1,1,0,0,0,0
T-79fa6bfbdf44,1,S|D|S|D,0,0,0,0,0,0
T-7c48cabab497,1,S|S|S|S,1,1,0,0,0,0
T-7cb7bb801fa9,1,U|U|U|U,1,1,1,0,0,0
T-7e7a9b400b1b,1,S|S|S|S,1,1,0,0,0,0
T-82676cbec526,1,U|U|U|U,1,1,0,0,0,0
T-88c2703d4c0f,1,S|S|S|S,1,1,0,0,0,0
T-8c725571ab27,1,S|S|S|S,1,1,0,0,0,0
T-8c856430c4bd,1,U|S|U|S,0,0,0,0,0,0
T-8e7ddb102390,1,D|D|D|D,1,1,0,0,0,0
T-9224d600b843,1,S|U|S|U,0,0,0,0,0,0
T-93d9abe92b75,1,U|U|U|U,1,1,1,0,0,0
T-9d5c322cd3a3,1,S|S|S|S,1,1,0,0,0,0
T-a3d7df36b0ea,1,S|S|S|S,1,1,0,0,0,0
T-b99b7f9db3af,1,S|S|S|S,1,1,1,0,0,0
T-ba14dc894672,1,D|D|S|D,1,0,0,1,1,0
T-bf30867b6bf4,1,D|D|D|D,1,1,0,0,0,0
T-c503d2fbb79b,1,U|U|U|U,1,1,1,0,0,0
T-c60868e1c03a,3,S|S|S|S,1,1,0,0,0,0
T-c8716646c61f,1,S|D|D|D,0,0,0,0,1,0
T-c961f5774051,1,S|S|S|S,1,1,1,0,0,0
T-cd6ef69cc9cc,2,D|D|D|D,1,1,0,0,0,0
T-cfd1afe05c68,2,D|D|D|D,1,1,0,0,0,0
T-d0d326f5382a,1,U|U|U|D,1,0,0,1,0,1
T-d39c21ea4512,2,D|D|D|S,1,0,0,1,0,1
T-e12f01074a7f,1,S|S|S|S,1,1,1,0,0,0
T-e2b1ee3e9028,1,D|D|D|D,1,1,0,0,0,0
T-e32d814335cd,1,D|D|D|D,1,1,0,0,0,0
T-e3b0c44298fc,1,U|U|U|U,1,1,0,0,0,0
T-ec1eec917acc,1,U|U|U|U,1,1,0,0,0,0
T-f49fc88319d0,1,D|S|D|U,0,0,0,0,0,1
T-f59a322b4b96,1,S|D|D|D,0,0,0,0,1,0
T-f6d1903d8370,1,D|U|D|D,0,0,0,0,0,1
