model,template_id,original_vector,original_status,whitespace_vector,whitespace_status,human_review_vector,human_review_status,multiple_sources_vector,multiple_sources_status,independent_basis_vector,independent_basis_status,reasons
gpt-6-astra,T-1b5a55fb5f11,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/UNCLEAR/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-6-astra,T-3e96a1b29c22,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/NO,S,YES/YES/UNCLEAR/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S,whitespace_vector_change
gpt-6-astra,T-9224d600b843,YES/YES/NO/UNCLEAR/YES/NO,S,YES/YES/NO/YES/YES/NO,S,YES/YES/NO/UNCLEAR/YES/YES,S,YES/YES/NO/UNCLEAR/YES/NO,S,YES/YES/YES/UNCLEAR/YES/YES,S,whitespace_vector_change
gpt-6-astra,T-9d5c322cd3a3,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,whitespace_vector_change
gpt-6-astra,T-a3d7df36b0ea,YES/YES/NO/NO/UNCLEAR/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,whitespace_vector_change
gpt-6-astra,T-bf30867b6bf4,YES/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,whitespace_vector_change
gpt-6-astra,T-c503d2fbb79b,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U,whitespace_vector_change
gpt-6-astra,T-d0d326f5382a,NO/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-6-astra,T-e3b0c44298fc,NO/UNCLEAR/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U,whitespace_vector_change
gpt-6-astra,T-f59a322b4b96,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,whitespace_vector_change;human_created_W;human_created_S;multiple_sources_created_W
